system:index,agbd,agbd_se,agbd_tonnes_per_ha,aspect,delta_ndvi,dry_blue,dry_evi,dry_green,dry_nbr,dry_ndmi,dry_ndvi,dry_nir,dry_nir2,dry_re1,dry_re2,dry_re3,dry_reci,dry_red,dry_savi,dry_swir1,dry_swir2,elevation,lat,lon,quality_flag,slope,vh,vh_vv_diff,vv,wet_evi,wet_ndvi,wet_nir,wet_savi,wet_swir1,.geo
2356_0,2.091825,0.6742598,2.091825,180.0,-0.036046028,0.0319,0.40805762975238663,0.05715,0.4852555,0.2089342,0.70604604,0.25295,0.28495,0.09175,0.2075,0.2489,1.7433255,0.0439,0.39534004940541045,0.16705,0.0871,1286,-1.5831459409680388,30.791508078000636,2,0.92740995,-16.822334906362286,-4.9372251230578446,-11.885109783304442,0.39825638025117394,0.67,0.2505,0.3768749915919033,0.1776,"{""type"":""MultiPoint"",""coordinates"":[]}"
2427_0,2.5646207,0.7183557,2.5646207,270.0,0.1054185,0.0306,0.3485085280650351,0.0527,0.42378375,0.12907436,0.65942246,0.2288,0.2552,0.0838,0.1873,0.22275,1.6846279,0.04585,0.3474181760529017,0.17205,0.09095,1286,-1.5912307785251145,30.791508078000636,2,4.6291447,-17.155256999676052,-5.497733788350576,-11.657523211325476,0.4562921854099182,0.76484096,0.26835,0.43583171302860907,0.1737,"{""type"":""MultiPoint"",""coordinates"":[]}"
2497_0,1.6869302,0.4826853,1.6869302,-0.0,0.012398481,0.02955,0.5613265636614043,0.05265,0.64697427,0.37201232,0.8164481,0.32590002,0.35235,0.0755,0.2437,0.31595,3.2736905,0.03285,0.513064878988367,0.148,0.0688,1285,-1.5990461214969545,30.791508078000636,2,0.92740995,-16.598686925959466,-5.399261515623419,-11.199425410336048,0.5787302934890003,0.8288466,0.3375,0.5252696598642175,0.15845,"{""type"":""MultiPoint"",""coordinates"":[]}"
2498_0,2.6989691,0.63306236,2.6989691,-0.0,0.078570366,0.032,0.3884803311483765,0.0602,0.47949335,0.18434162,0.68388826,0.2496,0.2672,0.0948,0.2056,0.2391,1.5821052,0.0447,0.3796087170691098,0.1681,0.0881,1288,-1.5990461214969545,30.802018366824832,2,0.0,-16.93350444477209,-4.7997471389587485,-12.133757305813342,0.51947126617426,0.7624586,0.3055,0.470856720155157,0.17395,"{""type"":""MultiPoint"",""coordinates"":[]}"
2566_0,2.7075942,0.6802697,2.7075942,314.98874,-0.022128582,0.0372,0.40393390364181886,0.0657,0.52546436,0.2442522,0.67028755,0.2614,0.2864,0.1105,0.2181,0.25,1.3928571,0.0521,0.389145797520158,0.1563,0.0816,1282,-1.6068614644687942,30.791508078000636,2,2.6220248,-18.231749793339176,-5.965913937982997,-12.26583585535618,0.42383292673705947,0.64815897,0.282,0.3950368190228414,0.163,"{""type"":""MultiPoint"",""coordinates"":[]}"
2567_0,2.631287,0.65367186,2.631287,225.01128,0.0025021434,0.03,0.5311612134971443,0.0518,0.6322632,0.34615386,0.8002782,0.3127,0.3407,0.0761,0.2345,0.3025,3.0666668,0.0352,0.49313583407338,0.1504,0.0703,1289,-1.6068614644687942,30.802018366824832,2,5.233113,-16.534461255177064,-4.690632621738734,-11.84382863343833,0.5680737285452447,0.80278033,0.3332,0.51295486397352,0.16675,"{""type"":""MultiPoint"",""coordinates"":[]}"
2628_0,2.4298751,0.5910448,2.4298751,314.98862,0.04213959,0.0299,0.43833553698936856,0.0527,0.49755958,0.2018654,0.73728526,0.2619,0.2918,0.079,0.2069,0.2547,2.3096447,0.0405,0.420406103531049,0.1762,0.0901,1288,-1.6146768074406341,30.78126728376167,2,2.6220298,-16.027832049310675,-5.639795735759396,-10.388036313551279,0.5010291177554193,0.77942485,0.3001,0.4709781421294308,0.1885,"{""type"":""MultiPoint"",""coordinates"":[]}"
2629_0,3.0903425,0.6702955,3.0903425,284.03088,-0.011197984,0.0318,0.4097310949528354,0.0555,0.48164147,0.17582658,0.705845,0.2508,0.2857,0.0908,0.2063,0.2452,1.7737603,0.0428,0.39627594529426613,0.1752,0.0876,1285,-1.6146768074406341,30.791508078000636,2,3.8199031,-15.652538310041418,-5.383209504971248,-10.26932880507017,0.41287254355246195,0.694647,0.2648,0.3948355937875999,0.1962,"{""type"":""MultiPoint"",""coordinates"":[]}"
2630_0,3.4291162,1.4437,3.4291162,-0.0,0.031044602,0.03065,0.44180116910375045,0.05345,0.53973603,0.24137717,0.7431685,0.26920003,0.2968,0.0799,0.2103,0.2608,2.269125,0.04,0.4243143604875731,0.1639,0.0817,1286,-1.6146768074406341,30.802018366824832,2,0.0,-16.458019646704653,-5.359873114273443,-11.09814653243121,0.5002346595657889,0.7742131,0.2931,0.4620664689496359,0.18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2693_0,2.2085276,0.64047164,2.2085276,-0.0,-0.03920394,0.0395,0.533762168834555,0.0709,0.60414034,0.31674683,0.7619577,0.3286,0.3459,0.105,0.2722,0.3137,2.1189828,0.0447,0.48535970692894126,0.1708,0.0815,1287,-1.6224921504124739,30.78126728376167,2,0.92740995,-15.129889122965633,-6.337540358798217,-8.792348764167416,0.5568569004864234,0.72275376,0.33894998,0.4771695241430563,0.1941,"{""type"":""MultiPoint"",""coordinates"":[]}"
2694_0,3.0588305,0.7028568,3.0588305,-0.0,-0.011586547,0.0341,0.488104448805539,0.0597,0.5635537,0.27237374,0.7617805,0.29295,0.322,0.09525,0.23875,0.27975,2.064786,0.04025,0.45301687126576906,0.1695,0.0818,1285,-1.6224921504124739,30.791508078000636,2,4.6273675,-15.773088050956575,-6.662821133499362,-9.110266917457214,0.5133261834261719,0.75019395,0.3195,0.47051596813855556,0.2088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2695_0,2.9807966,0.67120624,2.9807966,26.574244,-0.022754192,0.0349,0.36830356548829324,0.0531,0.42059976,0.13109533,0.66623414,0.22895,0.2564,0.0872,0.18785,0.2246,1.5974715,0.0458,0.35587963420794244,0.17475,0.09185,1288,-1.6224921504124739,30.802018366824832,2,2.0731938,-15.576220560577092,-5.9350225170083135,-9.641198043568778,0.3738305944888458,0.64347994,0.2417,0.3529862959185598,0.195,"{""type"":""MultiPoint"",""coordinates"":[]}"
2696_0,2.170466,0.5629539,2.170466,296.55585,-0.03524202,0.0317,0.42675757176106743,0.0548,0.49652377,0.19877099,0.7236476,0.2632,0.2885,0.0843,0.2097,0.2562,2.094104,0.0424,0.41086630152292647,0.1726,0.0872,1285,-1.6224921504124739,30.812259161063796,2,2.0736923,-17.603283269856213,-5.026581512230024,-12.57670175762619,0.42803680443788483,0.6884056,0.26770002,0.4007418064011955,0.1939,"{""type"":""MultiPoint"",""coordinates"":[]}"
2757_0,2.8186135,0.70764464,2.8186135,206.57433,-0.05939561,0.0362,0.40038757435634054,0.0578,0.47410116,0.18520333,0.68626255,0.2533,0.2772,0.0902,0.2103,0.2432,1.7748868,0.0467,0.3835395860923957,0.1741,0.0906,1287,-1.6303074933843138,30.78126728376167,2,2.0731955,-14.894145561901269,-5.85961286649831,-9.034532695402959,0.49594727310303965,0.62686694,0.2921,0.3919294736764013,0.20915,"{""type"":""MultiPoint"",""coordinates"":[]}"
2758_0,2.8324785,0.73985976,2.8324785,-0.0,-0.0804587,0.0329,0.43017013323180975,0.0583,0.47891533,0.19354941,0.70963705,0.2734,0.29565,0.0969,0.21625,0.25615,1.8098099,0.045450002,0.4127893231124175,0.18345,0.09565,1285,-1.6303074933843138,30.791508078000636,2,0.0,-15.911020144399151,-4.520042683388965,-11.390977461010186,0.3883472573149537,0.62917835,0.26424998,0.37140885986683636,0.21705,"{""type"":""MultiPoint"",""coordinates"":[]}"
2759_0,2.7839491,0.6640708,2.7839491,270.0,-0.019247234,0.0326,0.4441293514967052,0.0534,0.5029354,0.20882784,0.7297297,0.276,0.2974,0.0824,0.2077,0.2581,2.2625766,0.0428,0.4262464811038224,0.1781,0.0906,1287,-1.6303074933843138,30.812259161063796,2,0.9277854,-16.953629366513116,-5.112288473498694,-11.841340893014422,0.4736475405715239,0.7104825,0.2938,0.4340687148913359,0.1937,"{""type"":""MultiPoint"",""coordinates"":[]}"
2823_0,2.835217,0.77293015,2.835217,270.0,-0.01971215,0.03605,0.4292573685231563,0.06035,0.5256667,0.22432035,0.71269184,0.26425,0.29575,0.09655,0.2175,0.2584,1.7023604,0.0446,0.40462050692084417,0.1706,0.0833,1287,-1.6381228363561535,30.78126728376167,2,0.92778903,-15.937974281551481,-6.643285077469079,-9.294689204082403,0.425540064577593,0.6929797,0.2681,0.40603289457267555,0.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
